"","sampledate","Source","Pext_kgday","Yr"
"1323",2015-09-15,"Pother_kgday",7.63574904380865,"2015"
"1324",2016-07-14,"Pother_kgday",15.7361784671685,"2016"
"1325",2016-07-15,"Pother_kgday",14.8016669843613,"2016"
"1326",2016-07-16,"Pother_kgday",11.4147368646245,"2016"
"1327",2016-07-17,"Pother_kgday",19.5290924980373,"2016"
"1328",2016-07-18,"Pother_kgday",17.1425922351704,"2016"
"1329",2016-07-19,"Pother_kgday",12.8308811462762,"2016"
"1330",2016-07-20,"Pother_kgday",12.1444983140847,"2016"
"1331",2016-07-21,"Pother_kgday",112.542827540167,"2016"
"1332",2016-07-22,"Pother_kgday",386.038696352638,"2016"
"1333",2016-07-23,"Pother_kgday",107.649246283475,"2016"
"1334",2016-07-24,"Pother_kgday",122.991859862771,"2016"
"1335",2016-07-25,"Pother_kgday",50.2073536995396,"2016"
"1336",2016-07-26,"Pother_kgday",28.3419820665922,"2016"
"1337",2016-07-27,"Pother_kgday",19.4677251509496,"2016"
"1338",2016-07-28,"Pother_kgday",21.0209710635997,"2016"
"1339",2016-07-29,"Pother_kgday",34.2739759772579,"2016"
"1340",2016-07-30,"Pother_kgday",19.049762341448,"2016"
"1341",2016-07-31,"Pother_kgday",16.6845892595714,"2016"
"1342",2016-08-01,"Pother_kgday",16.5504438322056,"2016"
"1343",2016-08-02,"Pother_kgday",16.3004473975278,"2016"
"1344",2016-08-03,"Pother_kgday",15.5233730529343,"2016"
"1345",2016-08-04,"Pother_kgday",37.6123535172375,"2016"
"1346",2016-08-05,"Pother_kgday",51.6007629817379,"2016"
"1347",2016-08-06,"Pother_kgday",38.3508334130216,"2016"
"1348",2016-08-07,"Pother_kgday",25.5320752082897,"2016"
"1349",2016-08-08,"Pother_kgday",18.5779710074982,"2016"
"1350",2016-08-09,"Pother_kgday",17.0807839744851,"2016"
"1351",2016-08-10,"Pother_kgday",15.5519768575743,"2016"
"1352",2016-08-11,"Pother_kgday",20.0742359625573,"2016"
"1353",2016-08-12,"Pother_kgday",32.2848622231359,"2016"
"1354",2016-08-13,"Pother_kgday",21.3588822704482,"2016"
"1355",2016-08-14,"Pother_kgday",18.293254658064,"2016"
"1356",2016-08-15,"Pother_kgday",16.9869294559162,"2016"
"1357",2016-08-16,"Pother_kgday",14.0093260643924,"2016"
"1358",2016-08-17,"Pother_kgday",26.2234417942681,"2016"
"1359",2016-08-18,"Pother_kgday",16.2544712188392,"2016"
"1360",2016-08-19,"Pother_kgday",67.6727549874123,"2016"
"1361",2016-08-20,"Pother_kgday",40.4780642970922,"2016"
"1362",2016-08-21,"Pother_kgday",35.8751980690336,"2016"
"1363",2016-08-22,"Pother_kgday",22.9538630065408,"2016"
"1364",2016-08-23,"Pother_kgday",20.351308525476,"2016"
"1365",2016-08-24,"Pother_kgday",30.642346287814,"2016"
"1366",2016-08-25,"Pother_kgday",20.8981741949815,"2016"
"1367",2016-08-26,"Pother_kgday",25.9548797356288,"2016"
"1368",2016-08-27,"Pother_kgday",65.841002523003,"2016"
"1369",2016-08-28,"Pother_kgday",39.2548661880661,"2016"
"1370",2016-08-29,"Pother_kgday",25.520298303321,"2016"
"1371",2016-08-30,"Pother_kgday",23.8617119082101,"2016"
"1372",2016-08-31,"Pother_kgday",18.6358235532256,"2016"
"1373",2016-09-01,"Pother_kgday",17.4541924857754,"2016"
"1374",2016-09-02,"Pother_kgday",16.9565648564726,"2016"
"1375",2016-09-03,"Pother_kgday",15.5977262303647,"2016"
"1376",2016-09-04,"Pother_kgday",14.9125712167293,"2016"
"1377",2016-09-05,"Pother_kgday",15.1985864899892,"2016"
"1378",2016-09-06,"Pother_kgday",38.7222605414542,"2016"
"1379",2016-09-07,"Pother_kgday",139.386210338378,"2016"
"1380",2016-09-08,"Pother_kgday",129.564584036851,"2016"
"1381",2016-09-09,"Pother_kgday",57.1811083663561,"2016"
"1382",2016-09-10,"Pother_kgday",34.9693646492711,"2016"
"1383",2016-09-11,"Pother_kgday",22.9808004110593,"2016"
"1384",2016-09-12,"Pother_kgday",19.2928696667731,"2016"
"1385",2016-09-13,"Pother_kgday",34.484405726338,"2016"
"1386",2016-09-14,"Pother_kgday",26.4090531329429,"2016"
"1387",2017-07-15,"Pother_kgday",34.0618826152301,"2017"
"1388",2017-07-16,"Pother_kgday",36.0520944139425,"2017"
"1389",2017-07-17,"Pother_kgday",30.7749497715651,"2017"
"1390",2017-07-18,"Pother_kgday",33.7967768852052,"2017"
"1391",2017-07-19,"Pother_kgday",46.7990333655882,"2017"
"1392",2017-07-20,"Pother_kgday",404.997703950042,"2017"
"1393",2017-07-21,"Pother_kgday",204.581377708419,"2017"
"1394",2017-07-22,"Pother_kgday",430.945550989153,"2017"
"1395",2017-07-23,"Pother_kgday",234.913846334969,"2017"
"1396",2017-07-24,"Pother_kgday",128.254901933942,"2017"
"1397",2017-07-25,"Pother_kgday",93.6831625300817,"2017"
"1398",2017-07-26,"Pother_kgday",93.0121793176773,"2017"
"1399",2017-07-27,"Pother_kgday",100.659789498315,"2017"
"1400",2017-07-28,"Pother_kgday",77.5518253962784,"2017"
"1401",2017-07-29,"Pother_kgday",62.4319436894426,"2017"
"1402",2017-07-30,"Pother_kgday",52.055472949969,"2017"
"1403",2017-07-31,"Pother_kgday",46.1650671808838,"2017"
"1404",2017-08-01,"Pother_kgday",41.9419552923017,"2017"
"1405",2017-08-02,"Pother_kgday",38.1264517589705,"2017"
"1406",2017-08-03,"Pother_kgday",40.428562574123,"2017"
"1407",2017-08-04,"Pother_kgday",43.1361304636296,"2017"
"1408",2017-08-05,"Pother_kgday",36.6192424086113,"2017"
"1409",2017-08-06,"Pother_kgday",33.614529876448,"2017"
"1410",2017-08-07,"Pother_kgday",30.9828880030162,"2017"
"1411",2017-08-08,"Pother_kgday",28.7410162254405,"2017"
"1412",2017-08-09,"Pother_kgday",26.4872239473852,"2017"
"1413",2017-08-10,"Pother_kgday",46.9801330728607,"2017"
"1414",2017-08-11,"Pother_kgday",42.0488270820135,"2017"
"1415",2017-08-12,"Pother_kgday",28.0581008771127,"2017"
"1416",2017-08-13,"Pother_kgday",25.8350237096023,"2017"
"1417",2017-08-14,"Pother_kgday",24.4083487435859,"2017"
"1418",2017-08-15,"Pother_kgday",24.8836295858464,"2017"
"1419",2017-08-16,"Pother_kgday",52.709108938932,"2017"
"1420",2017-08-17,"Pother_kgday",79.9558173187014,"2017"
"1421",2017-08-18,"Pother_kgday",56.7241456962496,"2017"
"1422",2017-08-19,"Pother_kgday",36.2672138842229,"2017"
"1423",2017-08-20,"Pother_kgday",30.9941380324259,"2017"
"1424",2017-08-21,"Pother_kgday",28.1313495227215,"2017"
"1425",2017-08-22,"Pother_kgday",29.1671387341877,"2017"
"1426",2017-08-23,"Pother_kgday",26.7574520438889,"2017"
"1427",2017-08-24,"Pother_kgday",24.9250444135283,"2017"
"1428",2017-08-25,"Pother_kgday",23.753252573422,"2017"
"1429",2017-08-26,"Pother_kgday",24.9976347176327,"2017"
"1430",2017-08-27,"Pother_kgday",31.4765568439946,"2017"
"1431",2017-08-28,"Pother_kgday",30.1982496742339,"2017"
"1432",2017-08-29,"Pother_kgday",26.7832784520337,"2017"
"1433",2017-08-30,"Pother_kgday",30.7828328833614,"2017"
"1434",2017-08-31,"Pother_kgday",35.4417276885694,"2017"
"1435",2017-09-01,"Pother_kgday",29.905302690284,"2017"
