"","date","Depth_m","TotP_mgL","daynum"
"542",2015-05-01,21,NA,121
"543",2015-05-01,22,NA,121
"544",2015-05-01,23,NA,121
"545",2015-05-01,24,NA,121
"546",2015-05-01,25,NA,121
"547",2015-05-13,0,0.046,133
"548",2015-05-13,1,0.05325,133
"549",2015-05-13,2,0.0605,133
"550",2015-05-13,3,0.06775,133
"551",2015-05-13,4,0.075,133
"552",2015-05-13,5,0.07575,133
"553",2015-05-13,6,0.0765,133
"554",2015-05-13,7,0.07725,133
"555",2015-05-13,8,0.078,133
"556",2015-05-13,9,0.07875,133
"557",2015-05-13,10,0.0795,133
"558",2015-05-13,11,0.08025,133
"559",2015-05-13,12,0.081,133
"560",2015-05-13,13,0.08175,133
"561",2015-05-13,14,0.0825,133
"562",2015-05-13,15,0.08325,133
"563",2015-05-13,16,0.084,133
"564",2015-05-13,17,0.08475,133
"565",2015-05-13,18,0.0855,133
"566",2015-05-13,19,0.08625,133
"567",2015-05-13,20,0.087,133
"568",2015-05-13,21,NA,133
"569",2015-05-13,22,NA,133
"570",2015-05-13,23,NA,133
"571",2015-05-13,24,NA,133
"572",2015-05-13,25,NA,133
"573",2015-05-27,0,0.046,147
"574",2015-05-27,1,0.04875,147
"575",2015-05-27,2,0.0515,147
"576",2015-05-27,3,0.05425,147
"577",2015-05-27,4,0.057,147
"578",2015-05-27,5,NA,147
"579",2015-05-27,6,NA,147
"580",2015-05-27,7,NA,147
"581",2015-05-27,8,NA,147
"582",2015-05-27,9,NA,147
"583",2015-05-27,10,NA,147
"584",2015-05-27,11,NA,147
"585",2015-05-27,12,NA,147
"586",2015-05-27,13,NA,147
"587",2015-05-27,14,NA,147
"588",2015-05-27,15,NA,147
"589",2015-05-27,16,NA,147
"590",2015-05-27,17,NA,147
"591",2015-05-27,18,NA,147
"592",2015-05-27,19,NA,147
"593",2015-05-27,20,NA,147
"594",2015-05-27,21,NA,147
"595",2015-05-27,22,NA,147
"596",2015-05-27,23,NA,147
"597",2015-05-27,24,NA,147
"598",2015-05-27,25,NA,147
"599",2015-06-08,0,0.061,159
"600",2015-06-08,1,0.058,159
"601",2015-06-08,2,0.055,159
"602",2015-06-08,3,0.052,159
"603",2015-06-08,4,0.049,159
"604",2015-06-08,5,0.05125,159
"605",2015-06-08,6,0.0535,159
"606",2015-06-08,7,0.05575,159
"607",2015-06-08,8,0.058,159
"608",2015-06-08,9,0.0735,159
"609",2015-06-08,10,0.089,159
"610",2015-06-08,11,0.0985,159
"611",2015-06-08,12,0.108,159
"612",2015-06-08,13,0.11275,159
"613",2015-06-08,14,0.1175,159
"614",2015-06-08,15,0.12225,159
"615",2015-06-08,16,0.127,159
"616",2015-06-08,17,0.1415,159
"617",2015-06-08,18,0.156,159
"618",2015-06-08,19,0.16,159
"619",2015-06-08,20,0.164,159
"620",2015-06-08,21,0.1955,159
"621",2015-06-08,22,0.227,159
"622",2015-06-08,23,NA,159
"623",2015-06-08,24,NA,159
"624",2015-06-08,25,NA,159
"625",2015-06-23,0,0.053,174
"626",2015-06-23,1,0.05325,174
"627",2015-06-23,2,0.0535,174
"628",2015-06-23,3,0.05375,174
"629",2015-06-23,4,0.054,174
"630",2015-06-23,5,NA,174
"631",2015-06-23,6,NA,174
"632",2015-06-23,7,NA,174
"633",2015-06-23,8,NA,174
"634",2015-06-23,9,NA,174
"635",2015-06-23,10,NA,174
"636",2015-06-23,11,NA,174
"637",2015-06-23,12,NA,174
"638",2015-06-23,13,NA,174
"639",2015-06-23,14,NA,174
"640",2015-06-23,15,NA,174
"641",2015-06-23,16,NA,174
"642",2015-06-23,17,NA,174
"643",2015-06-23,18,NA,174
"644",2015-06-23,19,NA,174
"645",2015-06-23,20,NA,174
"646",2015-06-23,21,NA,174
"647",2015-06-23,22,NA,174
"648",2015-06-23,23,NA,174
"649",2015-06-23,24,NA,174
"650",2015-06-23,25,NA,174
"651",2015-07-08,0,0.043,189
"652",2015-07-08,1,0.042,189
"653",2015-07-08,2,0.041,189
"654",2015-07-08,3,0.04,189
"655",2015-07-08,4,0.039,189
"656",2015-07-08,5,0.03775,189
"657",2015-07-08,6,0.0365,189
"658",2015-07-08,7,0.03525,189
"659",2015-07-08,8,0.034,189
"660",2015-07-08,9,0.0695,189
"661",2015-07-08,10,0.105,189
"662",2015-07-08,11,0.137,189
"663",2015-07-08,12,0.169,189
"664",2015-07-08,13,0.188,189
"665",2015-07-08,14,0.207,189
"666",2015-07-08,15,0.226,189
"667",2015-07-08,16,0.245,189
"668",2015-07-08,17,0.2895,189
"669",2015-07-08,18,0.334,189
"670",2015-07-08,19,0.3425,189
"671",2015-07-08,20,0.351,189
"672",2015-07-08,21,0.37,189
"673",2015-07-08,22,0.389,189
"674",2015-07-08,23,NA,189
"675",2015-07-08,24,NA,189
"676",2015-07-08,25,NA,189
"677",2015-08-03,0,0.03,215
"678",2015-08-03,1,0.0295,215
"679",2015-08-03,2,0.029,215
"680",2015-08-03,3,0.0285,215
"681",2015-08-03,4,0.028,215
"682",2015-08-03,5,0.02825,215
"683",2015-08-03,6,0.0285,215
"684",2015-08-03,7,0.02875,215
"685",2015-08-03,8,0.029,215
"686",2015-08-03,9,0.0385,215
"687",2015-08-03,10,0.048,215
"688",2015-08-03,11,0.089,215
"689",2015-08-03,12,0.13,215
"690",2015-08-03,13,0.161625,215
"691",2015-08-03,14,0.19325,215
"692",2015-08-03,15,0.224875,215
"693",2015-08-03,16,0.2565,215
"694",2015-08-03,17,0.288125,215
"695",2015-08-03,18,0.31975,215
"696",2015-08-03,19,0.351375,215
"697",2015-08-03,20,0.383,215
"698",2015-08-03,21,0.3925,215
"699",2015-08-03,22,0.402,215
"700",2015-08-03,23,NA,215
"701",2015-08-03,24,NA,215
"702",2015-08-03,25,NA,215
"703",2015-08-18,0,0.023,230
"704",2015-08-18,1,0.02275,230
"705",2015-08-18,2,0.0225,230
"706",2015-08-18,3,0.02225,230
"707",2015-08-18,4,0.022,230
"708",2015-08-18,5,NA,230
"709",2015-08-18,6,NA,230
"710",2015-08-18,7,NA,230
"711",2015-08-18,8,NA,230
"712",2015-08-18,9,NA,230
"713",2015-08-18,10,NA,230
"714",2015-08-18,11,NA,230
"715",2015-08-18,12,NA,230
"716",2015-08-18,13,NA,230
"717",2015-08-18,14,NA,230
"718",2015-08-18,15,NA,230
"719",2015-08-18,16,NA,230
"720",2015-08-18,17,NA,230
"721",2015-08-18,18,NA,230
"722",2015-08-18,19,NA,230
"723",2015-08-18,20,NA,230
"724",2015-08-18,21,NA,230
"725",2015-08-18,22,NA,230
"726",2015-08-18,23,NA,230
"727",2015-08-18,24,NA,230
"728",2015-08-18,25,NA,230
"729",2015-08-31,0,NA,243
"730",2015-08-31,1,NA,243
"731",2015-08-31,2,NA,243
"732",2015-08-31,3,NA,243
"733",2015-08-31,4,0.026,243
"734",2015-08-31,5,0.026,243
"735",2015-08-31,6,0.026,243
"736",2015-08-31,7,0.026,243
"737",2015-08-31,8,0.026,243
"738",2015-08-31,9,0.0265,243
"739",2015-08-31,10,0.027,243
"740",2015-08-31,11,0.075,243
"741",2015-08-31,12,0.123,243
"742",2015-08-31,13,0.1985,243
"743",2015-08-31,14,0.274,243
"744",2015-08-31,15,0.29775,243
"745",2015-08-31,16,0.3215,243
"746",2015-08-31,17,0.34525,243
"747",2015-08-31,18,0.369,243
"748",2015-08-31,19,0.4005,243
"749",2015-08-31,20,0.432,243
"750",2015-08-31,21,0.4525,243
"751",2015-08-31,22,0.473,243
"752",2015-08-31,23,NA,243
"753",2015-08-31,24,NA,243
"754",2015-08-31,25,NA,243
"755",2016-04-12,0,0.051,103
"756",2016-04-12,1,0.05575,103
"757",2016-04-12,2,0.0605,103
"758",2016-04-12,3,0.06525,103
"759",2016-04-12,4,0.07,103
"760",2016-04-12,5,0.06825,103
"761",2016-04-12,6,0.0665,103
"762",2016-04-12,7,0.06475,103
"763",2016-04-12,8,0.063,103
"764",2016-04-12,9,0.06475,103
"765",2016-04-12,10,0.0665,103
"766",2016-04-12,11,0.06825,103
"767",2016-04-12,12,0.07,103
"768",2016-04-12,13,0.07,103
"769",2016-04-12,14,0.07,103
"770",2016-04-12,15,0.07,103
"771",2016-04-12,16,0.07,103
"772",2016-04-12,17,0.06875,103
"773",2016-04-12,18,0.0675,103
"774",2016-04-12,19,0.06625,103
"775",2016-04-12,20,0.065,103
"776",2016-04-12,21,NA,103
"777",2016-04-12,22,NA,103
"778",2016-04-12,23,NA,103
"779",2016-04-12,24,NA,103
"780",2016-04-12,25,NA,103
"781",2016-04-25,0,0.039,116
