"","sampledate","daynum","Yr","extTotP_kgday"
"342",2017-09-01,244,2017,32.855635658805
"343",2017-09-02,245,2017,28.5615708811395
"344",2017-09-03,246,2017,22.8628421308973
"345",2017-09-04,247,2017,26.6865144267975
"346",2017-09-05,248,2017,23.9709539612697
"347",2017-09-06,249,2017,20.4704507018324
"348",2017-09-07,250,2017,19.4242042839958
"349",2017-09-08,251,2017,19.2151973402606
"350",2017-09-09,252,2017,16.6050362426978
"351",2017-09-10,253,2017,16.6706851424478
"352",2017-09-11,254,2017,16.3604572090376
"353",2017-09-12,255,2017,16.3471454040385
"354",2018-07-14,195,2018,38.9957729830447
"355",2018-07-15,196,2018,27.3724833624525
"356",2018-07-16,197,2018,27.8518624765324
"357",2018-07-17,198,2018,25.058803087666
"358",2018-07-18,199,2018,22.7330416342203
"359",2018-07-19,200,2018,34.4509337320941
"360",2018-07-20,201,2018,82.1944973898832
"361",2018-07-21,202,2018,69.0600221678132
"362",2018-07-22,203,2018,42.4792709416996
"363",2018-07-23,204,2018,27.545005921047
"364",2018-07-24,205,2018,25.3228813100494
"365",2018-07-25,206,2018,22.2539977006742
"366",2018-07-26,207,2018,26.587857538079
"367",2018-07-27,208,2018,24.4542010154412
"368",2018-07-28,209,2018,22.7647932617295
"369",2018-07-29,210,2018,21.8865224000204
"370",2018-07-30,211,2018,29.8166722077932
"371",2018-07-31,212,2018,26.3421726533143
"372",2018-08-01,213,2018,28.0941180954236
"373",2018-08-02,214,2018,30.9783176702061
"374",2018-08-03,215,2018,23.4046210954645
"375",2018-08-04,216,2018,23.651217201173
"376",2018-08-05,217,2018,30.1874050746158
"377",2018-08-06,218,2018,60.7956572512276
"378",2018-08-07,219,2018,34.1342136568632
"379",2018-08-08,220,2018,23.9282954180554
"380",2018-08-09,221,2018,42.6836729950188
"381",2018-08-10,222,2018,34.1027519021824
"382",2018-08-11,223,2018,25.4198145418197
"383",2018-08-12,224,2018,23.2980728308608
"384",2018-08-13,225,2018,22.7887696794819
"385",2018-08-14,226,2018,21.6650585903321
"386",2018-08-15,227,2018,23.6435597850223
"387",2018-08-16,228,2018,70.2855687481791
"388",2018-08-17,229,2018,376.481561436451
"389",2018-08-18,230,2018,115.639747204422
"390",2018-08-19,231,2018,50.139060861341
"391",2018-08-20,232,2018,779.054573035976
"392",2018-08-21,233,2018,4265.62816364268
"393",2018-08-22,234,2018,489.991631264034
"394",2018-08-23,235,2018,283.654005289582
